date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2026-04-22,3344.267292,-60.639258,0.0,3283.628035,-1855.996819,3,1,2,-99.575559,38.936301
2026-04-23,3283.628035,219.435494,0.0,3503.063528,-1636.561325,5,4,1,96.292392,123.143101
2026-04-24,3503.063528,145.996828,0.0,3649.060357,-1490.564497,3,2,1,102.727338,43.26949
2026-04-25,3649.060357,107.008695,0.0,3756.069052,-1383.555802,2,1,1,107.008695,0.0
2026-04-26,3756.069052,110.146725,0.0,3866.215777,-1273.409077,2,1,1,110.146725,0.0
2026-04-27,3866.215777,-24.550036,0.0,3841.665741,-1297.959113,4,2,2,-115.116575,90.566539
2026-04-28,3841.665741,-69.658236,0.0,3772.007505,-1367.617348,3,1,2,-114.385597,44.727362
2026-04-29,3772.007505,164.524807,0.0,3936.532312,-1203.092542,5,2,3,347.118991,-182.594184
2026-04-30,3936.532312,115.43881,0.0,4051.971122,-1087.653732,2,1,1,115.43881,0.0
2026-05-01,4051.971122,-49.757215,1000.0,3002.213907,-2137.410947,5,1,4,89.499053,-139.256268
2026-05-02,3002.213907,276.278735,0.0,3278.492642,-1861.132212,2,2,0,276.278735,0.0
2026-05-03,3278.492642,96.141797,0.0,3374.634439,-1764.990415,2,1,1,96.141797,0.0
2026-05-04,3374.634439,35.976878,0.0,3410.611316,-1729.013538,5,2,3,98.961155,-62.984277
2026-05-05,3410.611316,184.776767,0.0,3595.388083,-1544.23677,4,3,1,100.016177,84.76059
2026-05-06,3595.388083,-76.418677,0.0,3518.969406,-1620.655447,5,2,3,-107.05268,30.634003
2026-05-07,3518.969406,135.003035,0.0,3653.972442,-1485.652412,5,3,2,103.193778,31.809258
2026-05-08,3653.972442,197.961348,0.0,3851.93379,-1287.691064,4,3,1,107.152742,90.808606
2026-05-09,3851.93379,-114.691329,0.0,3737.242461,-1402.382392,2,0,2,-114.691329,0.0
2026-05-10,3737.242461,-111.276394,0.0,3625.966067,-1513.658787,2,0,2,-111.276394,0.0
2026-05-11,3625.966067,-263.910493,0.0,3362.055574,-1777.569279,5,0,5,-107.96314,-155.947353
2026-05-12,3362.055574,128.983135,0.0,3491.03871,-1648.586144,5,3,2,98.59228,30.390856
2026-05-13,3491.03871,-22.167703,0.0,3468.871007,-1670.753847,4,2,2,-103.945678,81.777974
2026-05-14,3468.871007,-164.311438,0.0,3304.559569,-1835.065285,5,1,4,-103.285634,-61.025804
2026-05-15,3304.559569,-59.919265,0.0,3244.640303,-1894.98455,3,1,2,-98.393261,38.473996
2026-05-16,3244.640303,95.149077,0.0,3339.78938,-1799.835474,2,1,1,95.149077,0.0
2026-05-17,3339.78938,0.0,1000.0,2339.78938,-2799.835474,0,0,0,0.0,0.0
